,dates,sum,ids,shop
38,18 Dec 2022 11:18 AM,3114,15970,Красный
39,17 Jan 2023 09:55 AM,14675,10318,Зелёный
40,23 Jan 2023 09:23 AM,2800,12904,Красный
41,23 Jan 2023 09:36 PM,8436,15579,Чёрный
42,06 Jan 2023 10:50 PM,15594,12546,Зелёный
43,22 Dec 2022 01:51 PM,13360,11920,Жёлтый
44,02 Feb 2023 09:27 AM,11288,10093,Оранжевый
45,21 Dec 2022 07:53 PM,2829,13428,Жёлтый
46,15 Dec 2022 07:58 PM,4087,15332,Синий
47,23 Dec 2022 12:43 AM,16282,11384,Голубой
48,11 Jan 2023 10:00 AM,2736,14029,Оранжевый
49,16 Jan 2023 06:31 PM,1391,11731,Синий
50,03 Jan 2023 12:31 PM,10289,11175,Жёлтый
51,26 Jan 2023 01:56 PM,15739,12263,Оранжевый
52,01 Jan 2023 02:11 AM,1265,13772,Оранжевый
53,16 Dec 2022 08:25 AM,707,11063,Оранжевый
54,20 Dec 2022 02:54 AM,8195,13886,Зелёный
55,10 Jan 2023 06:23 PM,10598,13723,Фиолетовый
56,08 Feb 2023 08:52 PM,19470,11102,Фиолетовый
57,03 Jan 2023 02:10 PM,10651,15108,Зелёный
58,26 Dec 2022 08:17 PM,7196,11719,Синий
59,26 Dec 2022 06:07 PM,16555,13499,Синий
60,15 Dec 2022 07:33 AM,14380,13375,Голубой
61,09 Feb 2023 07:22 PM,7180,14349,Голубой
62,13 Dec 2022 12:53 AM,2478,14039,Жёлтый
63,14 Dec 2022 12:32 AM,13379,12567,Чёрный
64,14 Dec 2022 03:22 PM,15192,13933,Красный
65,14 Dec 2022 02:53 AM,5809,13951,Зелёный
66,16 Jan 2023 11:13 PM,17469,13482,Оранжевый
67,09 Feb 2023 03:50 AM,11931,13310,Красный
68,21 Jan 2023 11:07 AM,8623,14767,Красный
69,21 Dec 2022 03:12 AM,4655,11035,Синий
70,03 Feb 2023 05:38 PM,16939,14179,Чёрный
71,28 Dec 2022 08:45 PM,5195,11578,Голубой
72,06 Jan 2023 11:27 PM,9955,12813,Жёлтый
73,11 Jan 2023 10:37 PM,1306,14533,Оранжевый
74,07 Feb 2023 07:25 PM,5153,14653,Красный
75,13 Jan 2023 11:00 AM,10891,14577,Красный
76,14 Dec 2022 02:59 PM,1083,14041,Жёлтый
77,03 Feb 2023 10:09 PM,8342,11201,Фиолетовый
78,26 Dec 2022 01:54 AM,12531,14380,Оранжевый
79,11 Jan 2023 05:00 PM,2332,10876,Оранжевый
80,07 Jan 2023 08:24 AM,14214,14232,Голубой
81,29 Dec 2022 07:09 AM,16123,15385,Синий
82,01 Feb 2023 05:18 AM,19011,15821,Голубой
83,14 Jan 2023 08:33 PM,6324,15709,Голубой
84,25 Jan 2023 09:22 AM,12821,14896,Фиолетовый
85,05 Jan 2023 06:42 PM,1922,14961,Синий
86,22 Jan 2023 09:51 AM,6742,10157,Оранжевый
87,29 Dec 2022 04:53 AM,,15090,Жёлтый
88,18 Dec 2022 09:11 AM,,10943,Жёлтый
89,18 Jan 2023 02:08 AM,,14722,Жёлтый
90,29 Dec 2022 04:20 AM,18056,14367,Оранжевый
91,30 Jan 2023 03:57 AM,17142,11110,Фиолетовый
92,01 Feb 2023 05:43 PM,10934,12973,Чёрный
93,04 Feb 2023 10:19 PM,9208,11208,Чёрный
94,17 Dec 2022 11:21 AM,470,10756,Фиолетовый
95,31 Jan 2023 12:50 AM,1364,12181,Оранжевый
96,14 Dec 2022 06:34 PM,7485,12974,Оранжевый
97,01 Jan 2023 02:10 PM,9512,11976,Зелёный
98,13 Dec 2022 07:30 AM,,15385,Жёлтый
99,03 Jan 2023 06:14 AM,19406,11732,Оранжевый
100,25 Jan 2023 04:08 AM,17675,14238,Красный
101,16 Jan 2023 03:35 AM,11822,14042,Зелёный
102,14 Dec 2022 01:40 AM,4341,14754,Голубой
103,25 Jan 2023 10:13 AM,647,15331,Оранжевый
104,05 Feb 2023 09:16 PM,4443,12338,Красный
105,19 Jan 2023 07:55 PM,10846,15877,Фиолетовый
106,30 Jan 2023 08:26 AM,15412,13513,Синий
107,28 Jan 2023 08:49 AM,18524,10522,Синий
108,28 Dec 2022 11:04 AM,1639,14126,Красный
109,31 Jan 2023 08:33 AM,1767,11391,Оранжевый
110,17 Jan 2023 04:39 AM,350,14678,Чёрный
111,20 Jan 2023 02:34 PM,12620,15116,Оранжевый
112,18 Dec 2022 01:21 AM,373,10610,Голубой
113,03 Feb 2023 12:29 AM,7806,14197,Голубой
114,14 Dec 2022 07:50 PM,13655,11175,Оранжевый
115,29 Jan 2023 11:32 PM,1941,15885,Чёрный
116,21 Dec 2022 08:52 PM,10774,10467,Голубой
117,05 Jan 2023 11:21 PM,12175,12012,Красный
118,16 Dec 2022 06:05 AM,12922,11321,Оранжевый
119,02 Feb 2023 01:33 AM,13646,13906,Синий
120,13 Dec 2022 06:39 AM,1749,11172,Красный
121,16 Jan 2023 08:16 PM,13736,15311,Оранжевый
122,21 Dec 2022 02:19 AM,6626,13906,Чёрный
123,26 Jan 2023 01:39 PM,13124,10394,Оранжевый
124,15 Jan 2023 09:23 AM,4187,10694,Синий
125,03 Jan 2023 05:30 AM,16993,15400,Оранжевый
126,20 Dec 2022 03:01 AM,3903,12988,Фиолетовый
127,01 Jan 2023 03:17 PM,17458,13964,Чёрный
128,02 Feb 2023 01:02 AM,4028,11511,Чёрный
129,07 Jan 2023 11:15 AM,4910,13367,Жёлтый
130,24 Dec 2022 01:31 PM,17287,15925,Оранжевый
131,28 Dec 2022 09:06 PM,7497,13176,Фиолетовый
132,27 Dec 2022 11:21 PM,2539,13713,Жёлтый
133,29 Jan 2023 03:53 PM,15284,12660,Оранжевый
134,15 Dec 2022 09:41 PM,16704,12036,Оранжевый
135,17 Jan 2023 09:15 AM,1563,10636,Оранжевый
136,19 Dec 2022 10:59 PM,6567,11077,Красный
137,27 Dec 2022 09:16 AM,18503,14297,Чёрный
138,14 Jan 2023 04:17 PM,5244,10511,Фиолетовый
139,07 Feb 2023 08:28 PM,3001,13685,Фиолетовый
140,03 Feb 2023 04:34 AM,10264,13981,Фиолетовый
141,27 Jan 2023 09:56 PM,13672,13196,Красный
142,06 Jan 2023 05:55 AM,7344,14961,Жёлтый
143,04 Feb 2023 06:43 PM,11183,10093,Красный
144,16 Jan 2023 12:13 AM,19791,11402,Голубой
145,07 Feb 2023 11:49 AM,9613,14976,Фиолетовый
146,27 Jan 2023 11:50 AM,17868,12142,Чёрный
147,04 Jan 2023 06:25 PM,8273,12167,Зелёный
148,15 Dec 2022 06:43 AM,13946,12765,Красный
149,22 Jan 2023 10:32 PM,6670,12481,Чёрный
150,16 Jan 2023 02:32 PM,18451,11275,Жёлтый
151,04 Feb 2023 08:51 AM,18677,15940,Красный
152,09 Jan 2023 01:07 PM,10158,15864,Фиолетовый
153,15 Jan 2023 03:43 PM,6262,12077,Оранжевый
154,13 Dec 2022 10:01 AM,112,14229,Оранжевый
155,14 Jan 2023 07:37 AM,,15450,Жёлтый
156,02 Feb 2023 02:09 PM,11508,11751,Чёрный
157,28 Jan 2023 03:53 PM,9470,10528,Синий
158,27 Jan 2023 12:39 PM,5026,13726,Голубой
159,09 Jan 2023 04:35 PM,,12937,Жёлтый
160,22 Dec 2022 01:08 PM,6568,14325,Красный
161,02 Jan 2023 04:15 AM,11551,12309,Зелёный
162,22 Jan 2023 02:23 AM,6645,10142,Красный
163,26 Dec 2022 05:06 PM,6037,13212,Синий
164,28 Dec 2022 12:24 PM,104,11764,Синий
165,26 Jan 2023 01:04 AM,13633,13308,Голубой
166,22 Jan 2023 09:08 PM,13764,12512,Фиолетовый
167,08 Jan 2023 12:51 AM,4602,14485,Синий
168,17 Jan 2023 05:50 AM,14904,14414,Синий
169,30 Jan 2023 09:30 PM,4830,12746,Зелёный
170,07 Jan 2023 04:16 AM,17929,10399,Фиолетовый
171,30 Dec 2022 12:12 PM,5731,10160,Красный
172,30 Jan 2023 05:42 PM,3562,10752,Голубой
173,09 Feb 2023 11:26 AM,6145,14739,Жёлтый
174,31 Dec 2022 10:29 AM,13204,12896,Синий
175,11 Jan 2023 10:18 PM,10661,11702,Оранжевый
176,20 Dec 2022 04:23 PM,4957,13616,Жёлтый
177,07 Feb 2023 12:00 PM,15373,11231,Оранжевый
178,25 Dec 2022 04:19 PM,9077,11412,Фиолетовый
179,24 Jan 2023 09:38 PM,6666,14348,Синий
180,22 Dec 2022 10:26 PM,9369,14958,Чёрный
181,06 Feb 2023 12:44 PM,17513,11316,Зелёный
182,22 Dec 2022 12:58 PM,8561,11698,Жёлтый
183,18 Dec 2022 06:55 PM,11730,14329,Красный
184,09 Jan 2023 05:14 AM,13374,13087,Красный
185,02 Jan 2023 01:16 AM,18604,15438,Синий
186,27 Jan 2023 11:00 AM,9273,13435,Фиолетовый
187,14 Jan 2023 12:29 PM,15704,12601,Фиолетовый
188,15 Jan 2023 04:57 AM,11359,14573,Фиолетовый
189,30 Dec 2022 02:52 PM,1505,15198,Оранжевый
190,28 Dec 2022 12:12 PM,13846,12605,Оранжевый
191,04 Feb 2023 05:04 AM,9463,14503,Жёлтый
192,18 Dec 2022 02:40 AM,18577,15067,Зелёный
193,13 Jan 2023 11:26 AM,5681,10197,Красный
194,11 Jan 2023 11:29 AM,899,15470,Синий
195,18 Dec 2022 12:22 AM,6165,15963,Голубой
196,20 Jan 2023 09:21 AM,16575,11583,Жёлтый
197,20 Dec 2022 02:26 PM,16698,12148,Оранжевый
198,29 Jan 2023 06:40 AM,2146,15012,Синий
199,09 Feb 2023 06:52 AM,13083,14483,Оранжевый
200,22 Jan 2023 02:01 AM,3520,11628,Голубой
201,30 Jan 2023 08:17 AM,13277,15077,Фиолетовый
202,15 Dec 2022 04:57 PM,12412,12675,Жёлтый
203,01 Jan 2023 12:08 AM,13704,10141,Оранжевый
204,18 Dec 2022 07:01 AM,1380,15713,Голубой
205,14 Dec 2022 07:16 AM,5149,15574,Голубой
206,01 Feb 2023 10:58 PM,1793,11245,Синий
207,12 Jan 2023 12:11 AM,17677,11538,Синий
208,23 Jan 2023 08:57 PM,4191,11339,Чёрный
209,12 Jan 2023 11:15 AM,5252,13928,Зелёный
210,24 Jan 2023 06:05 PM,19360,15407,Голубой
211,20 Jan 2023 10:01 AM,8794,14724,Оранжевый
212,13 Dec 2022 12:25 PM,1389,15282,Оранжевый
213,02 Jan 2023 12:49 PM,15221,11664,Синий
214,02 Jan 2023 08:12 PM,6819,15342,Жёлтый
215,12 Jan 2023 04:00 PM,14759,10192,Красный
216,21 Dec 2022 12:34 PM,16539,13946,Синий
217,22 Dec 2022 03:43 AM,9130,15514,Голубой
218,24 Dec 2022 06:34 PM,609,15461,Фиолетовый
219,05 Feb 2023 03:55 AM,4035,13465,Фиолетовый
220,06 Jan 2023 02:46 PM,2722,15539,Оранжевый
221,15 Dec 2022 03:36 PM,2849,12371,Оранжевый
222,25 Jan 2023 08:26 PM,9913,14353,Красный
223,25 Dec 2022 08:08 PM,1338,14077,Голубой
224,18 Dec 2022 12:10 AM,4148,12148,Красный
225,08 Jan 2023 05:09 AM,9601,10669,Чёрный
226,01 Jan 2023 08:49 AM,12134,15755,Зелёный
227,11 Jan 2023 01:56 AM,8677,10225,Оранжевый
228,26 Jan 2023 03:35 AM,6898,10959,Голубой
229,16 Dec 2022 08:46 PM,16467,13656,Оранжевый
230,16 Dec 2022 03:05 AM,18063,15828,Голубой
231,03 Jan 2023 08:28 AM,15870,11294,Оранжевый
232,20 Dec 2022 03:34 AM,2895,14708,Фиолетовый
233,06 Feb 2023 01:39 AM,2016,13713,Голубой
234,21 Jan 2023 02:52 PM,9785,13155,Синий
235,25 Dec 2022 11:02 AM,3355,10005,Голубой
236,08 Jan 2023 02:20 AM,12943,12239,Голубой
237,31 Jan 2023 11:52 PM,12151,11606,Красный
238,17 Jan 2023 01:34 AM,18736,10353,Оранжевый
239,28 Jan 2023 11:00 AM,13299,13592,Оранжевый
240,29 Dec 2022 12:46 PM,6082,14951,Синий
241,20 Jan 2023 11:15 AM,2780,14469,Зелёный
242,13 Dec 2022 07:09 PM,19952,12057,Чёрный
243,16 Jan 2023 09:05 AM,4693,14626,Красный
244,14 Jan 2023 10:02 AM,3483,10714,Синий
245,22 Dec 2022 05:26 PM,5006,13512,Зелёный
246,16 Dec 2022 11:06 PM,18295,15203,Фиолетовый
247,26 Dec 2022 02:21 PM,15829,14334,Голубой
248,23 Jan 2023 09:31 PM,19123,10467,Жёлтый
249,08 Feb 2023 10:50 PM,2535,12733,Фиолетовый
250,29 Jan 2023 06:10 AM,5496,11676,Фиолетовый
251,17 Dec 2022 12:58 PM,11282,11389,Красный
252,21 Jan 2023 06:40 AM,5639,15968,Оранжевый
253,13 Jan 2023 04:44 AM,2537,14312,Фиолетовый
254,27 Dec 2022 01:05 PM,11261,10042,Красный
255,29 Dec 2022 07:21 AM,9435,15356,Оранжевый
256,09 Feb 2023 12:18 PM,13864,15466,Чёрный
257,16 Dec 2022 12:04 AM,5579,10063,Чёрный
258,19 Dec 2022 01:18 AM,3822,10870,Красный
259,07 Feb 2023 09:40 PM,15058,15190,Чёрный
260,19 Jan 2023 02:08 AM,13020,10388,Красный
261,23 Dec 2022 08:04 PM,15108,14225,Оранжевый
262,24 Dec 2022 07:36 PM,13551,12136,Синий
263,26 Jan 2023 04:23 AM,5652,13063,Красный
264,08 Feb 2023 11:56 PM,14803,13184,Жёлтый
265,22 Jan 2023 12:13 AM,4657,15656,Оранжевый
266,28 Jan 2023 02:20 AM,5167,14462,Оранжевый
267,20 Jan 2023 01:18 AM,10340,14449,Чёрный
268,07 Jan 2023 03:56 AM,16430,13236,Жёлтый
269,04 Feb 2023 04:19 AM,3136,11073,Зелёный
270,30 Dec 2022 04:13 AM,9709,13214,Фиолетовый
271,04 Jan 2023 06:34 AM,5680,12642,Фиолетовый
272,25 Dec 2022 02:38 PM,338,13831,Оранжевый
273,26 Jan 2023 05:01 AM,11649,10490,Фиолетовый
274,10 Jan 2023 07:25 PM,16223,13177,Чёрный
275,25 Jan 2023 06:38 PM,1909,11442,Оранжевый
276,05 Feb 2023 07:42 AM,748,11043,Фиолетовый
277,25 Jan 2023 03:42 PM,1866,12788,Жёлтый
278,02 Jan 2023 12:44 PM,11073,14347,Красный
279,29 Jan 2023 05:17 PM,19378,12450,Фиолетовый
280,22 Dec 2022 06:02 PM,3547,12150,Чёрный
281,26 Jan 2023 01:45 AM,4695,11534,Чёрный
282,17 Dec 2022 03:09 PM,17257,10571,Оранжевый
283,07 Feb 2023 06:52 AM,5926,15047,Красный
284,22 Dec 2022 08:46 PM,8396,13965,Зелёный
285,27 Jan 2023 11:36 AM,4521,12481,Зелёный
286,27 Dec 2022 10:22 AM,17568,15981,Красный
287,14 Dec 2022 02:54 AM,9170,14300,Красный
288,04 Jan 2023 06:51 PM,17008,11361,Голубой
289,04 Feb 2023 06:37 PM,2372,10411,Жёлтый
290,11 Jan 2023 06:25 PM,2176,11819,Чёрный
291,22 Jan 2023 04:39 AM,2265,10703,Красный
292,30 Jan 2023 06:20 PM,10780,14309,Голубой
293,26 Dec 2022 02:53 PM,7081,11044,Красный
294,04 Feb 2023 03:28 AM,10455,13656,Жёлтый
295,19 Dec 2022 04:56 AM,5022,14541,Чёрный
296,28 Jan 2023 06:17 PM,15882,11399,Чёрный
297,19 Jan 2023 05:21 PM,10239,11058,Жёлтый
298,22 Jan 2023 03:46 AM,,14686,Жёлтый
299,05 Jan 2023 11:08 AM,5373,13047,Красный
300,08 Feb 2023 04:45 AM,,11926,Жёлтый
301,19 Jan 2023 01:44 AM,10267,13041,Зелёный
302,03 Jan 2023 06:36 AM,5794,13118,Зелёный
303,23 Dec 2022 12:11 PM,14929,15064,Красный
304,15 Jan 2023 07:18 AM,10964,13216,Чёрный
305,15 Jan 2023 12:06 PM,19285,12563,Голубой
306,21 Jan 2023 10:44 AM,912,13307,Оранжевый
307,04 Jan 2023 08:09 PM,4982,13307,Фиолетовый
308,21 Jan 2023 08:22 PM,9451,11603,Жёлтый
309,27 Jan 2023 01:52 AM,17438,10525,Чёрный
310,24 Jan 2023 08:06 AM,7904,10556,Голубой
311,02 Feb 2023 09:55 AM,14700,12177,Жёлтый
312,31 Jan 2023 08:58 PM,7403,13310,Фиолетовый
313,01 Jan 2023 12:09 PM,16865,15629,Оранжевый
314,02 Feb 2023 07:00 PM,13914,12615,Жёлтый
315,16 Jan 2023 08:12 AM,6953,12059,Фиолетовый
316,23 Jan 2023 07:00 AM,18835,14772,Красный
317,23 Jan 2023 12:45 AM,1980,10634,Голубой
318,28 Jan 2023 08:15 AM,3733,13216,Синий
319,06 Jan 2023 12:59 PM,11161,15137,Чёрный
320,09 Jan 2023 08:29 PM,15968,13614,Красный
321,01 Feb 2023 11:20 PM,14514,12047,Оранжевый
322,20 Dec 2022 03:25 PM,7803,13783,Чёрный
323,11 Jan 2023 04:55 PM,11760,11086,Оранжевый
324,25 Dec 2022 05:11 PM,16312,14749,Жёлтый
325,25 Dec 2022 02:00 PM,8810,15311,Красный
326,14 Dec 2022 08:33 PM,1166,10708,Синий
327,21 Dec 2022 04:53 PM,12668,13741,Чёрный
328,17 Jan 2023 02:43 AM,4828,11148,Красный
329,20 Dec 2022 09:05 AM,11273,15662,Красный
330,20 Jan 2023 10:35 PM,13396,13041,Зелёный
331,28 Jan 2023 07:23 AM,11313,12666,Синий
332,09 Jan 2023 08:16 AM,16283,15523,Зелёный
333,31 Dec 2022 08:21 AM,234,14483,Жёлтый
334,31 Dec 2022 01:08 PM,1254,14101,Зелёный
335,22 Dec 2022 03:20 AM,7453,13318,Оранжевый
336,18 Dec 2022 01:01 AM,14479,11574,Оранжевый
337,08 Jan 2023 05:43 AM,15488,11833,Голубой
338,03 Feb 2023 04:35 AM,6594,12254,Жёлтый
339,03 Jan 2023 04:58 AM,12211,15313,Оранжевый
340,11 Jan 2023 04:33 AM,5656,15854,Синий
341,15 Jan 2023 05:33 PM,11922,11706,Фиолетовый
342,26 Jan 2023 07:59 AM,2480,15697,Фиолетовый
343,16 Jan 2023 04:18 AM,6994,12911,Оранжевый
344,14 Jan 2023 11:53 PM,10201,10388,Фиолетовый
345,22 Dec 2022 04:27 PM,15638,15521,Жёлтый
346,25 Dec 2022 03:39 PM,411,10237,Голубой
347,14 Jan 2023 09:27 AM,2118,10692,Зелёный
348,22 Dec 2022 06:30 PM,18062,10587,Зелёный
349,24 Jan 2023 09:56 AM,10371,12211,Чёрный
350,19 Dec 2022 04:18 AM,2728,12848,Зелёный
351,19 Dec 2022 11:31 AM,5078,14208,Голубой
352,06 Feb 2023 08:51 AM,2271,15846,Зелёный
353,21 Jan 2023 02:01 AM,13921,12143,Зелёный
354,10 Jan 2023 08:27 PM,4545,12048,Голубой
355,25 Jan 2023 05:27 PM,11925,10351,Фиолетовый
356,01 Jan 2023 05:47 AM,18779,13962,Чёрный
357,25 Dec 2022 03:54 PM,12853,14859,Голубой
358,11 Jan 2023 07:49 AM,18765,12195,Синий
359,31 Dec 2022 08:21 PM,475,13003,Фиолетовый
360,24 Jan 2023 10:46 PM,2233,10452,Голубой
361,01 Jan 2023 10:33 PM,2483,11356,Жёлтый
362,29 Dec 2022 02:43 PM,10977,15375,Фиолетовый
363,29 Dec 2022 04:59 PM,1504,11250,Жёлтый
364,26 Dec 2022 03:00 PM,6611,14531,Синий
365,21 Dec 2022 01:36 PM,12347,14978,Красный
366,30 Jan 2023 12:42 PM,2660,11371,Красный
367,23 Jan 2023 12:59 PM,16971,13753,Зелёный
368,03 Feb 2023 11:02 AM,17591,15226,Синий
369,01 Jan 2023 05:22 AM,16203,11215,Жёлтый
370,13 Dec 2022 04:02 AM,14252,15913,Фиолетовый
371,02 Jan 2023 04:33 PM,6375,11876,Зелёный
372,28 Jan 2023 07:40 PM,5985,11955,Красный
373,18 Jan 2023 09:49 PM,16023,11841,Фиолетовый
374,04 Feb 2023 10:53 AM,13956,12659,Синий
375,17 Dec 2022 07:44 PM,17776,11827,Зелёный
376,14 Dec 2022 11:24 AM,14615,11589,Чёрный
377,12 Jan 2023 12:13 AM,10856,13076,Голубой
378,16 Dec 2022 11:38 AM,1582,10945,Зелёный
379,02 Jan 2023 01:53 PM,6960,11254,Голубой
380,05 Jan 2023 08:08 PM,12193,15192,Красный
381,13 Jan 2023 12:40 AM,13371,10167,Оранжевый
382,31 Jan 2023 09:32 PM,13389,12029,Чёрный
383,18 Jan 2023 03:33 PM,3684,10961,Синий
384,28 Jan 2023 02:03 AM,15495,10689,Жёлтый
385,10 Jan 2023 02:44 AM,14650,12568,Красный
386,14 Jan 2023 12:46 PM,2061,11052,Оранжевый
387,07 Feb 2023 11:36 AM,14690,15850,Жёлтый
388,08 Jan 2023 06:01 PM,18829,12329,Зелёный
389,03 Feb 2023 09:04 PM,13644,14196,Красный
390,27 Dec 2022 12:01 AM,8842,14593,Жёлтый
391,05 Feb 2023 05:07 PM,13537,12496,Оранжевый
392,23 Dec 2022 02:05 PM,17772,12596,Зелёный
393,04 Feb 2023 07:17 AM,3717,11049,Чёрный
394,02 Jan 2023 05:22 AM,4630,14712,Жёлтый
395,28 Dec 2022 06:10 PM,15063,12610,Оранжевый
396,17 Jan 2023 02:14 AM,3998,14698,Оранжевый
397,25 Dec 2022 12:06 PM,15025,14607,Красный
398,31 Jan 2023 10:01 AM,6785,10182,Синий
399,11 Jan 2023 12:27 PM,9639,14773,Оранжевый
400,06 Feb 2023 11:10 PM,4935,12621,Красный
401,23 Dec 2022 10:02 AM,13284,12969,Оранжевый
402,08 Jan 2023 04:11 PM,19850,13508,Голубой
403,27 Dec 2022 04:33 AM,8906,11164,Синий
404,17 Dec 2022 03:28 AM,5064,14975,Чёрный
405,07 Feb 2023 07:50 PM,10337,10155,Синий
406,17 Dec 2022 05:27 PM,11570,10729,Фиолетовый
407,30 Jan 2023 10:31 PM,17495,14445,Чёрный
408,24 Jan 2023 04:45 PM,2033,11619,Чёрный
409,31 Jan 2023 05:39 PM,12145,10466,Чёрный
410,13 Dec 2022 05:22 PM,5144,15897,Красный
411,26 Jan 2023 05:51 PM,9392,10664,Зелёный
412,07 Feb 2023 11:17 PM,15022,15758,Голубой
413,30 Jan 2023 04:29 AM,9904,15252,Красный
414,13 Dec 2022 11:17 PM,7483,11657,Красный
415,06 Jan 2023 09:17 AM,3146,14804,Зелёный
416,15 Dec 2022 01:23 PM,10087,10135,Оранжевый
417,05 Feb 2023 06:52 PM,9906,10431,Оранжевый
418,18 Jan 2023 10:42 AM,19475,14460,Чёрный
419,20 Jan 2023 10:58 AM,18594,15829,Чёрный
420,17 Dec 2022 03:32 AM,1185,13051,Жёлтый
421,22 Dec 2022 02:00 PM,1319,14972,Синий
422,31 Jan 2023 01:41 PM,7505,15318,Жёлтый
423,02 Jan 2023 07:45 PM,19729,11746,Красный
424,05 Jan 2023 09:08 AM,10241,13512,Фиолетовый
425,25 Dec 2022 03:36 PM,13047,11222,Красный
426,29 Dec 2022 08:25 AM,6643,11540,Зелёный
427,09 Feb 2023 06:38 AM,3066,13645,Жёлтый
428,30 Jan 2023 09:31 AM,2038,15683,Чёрный
429,17 Jan 2023 05:27 AM,14281,15855,Зелёный
430,27 Dec 2022 02:03 PM,13924,13719,Синий
431,06 Jan 2023 02:02 PM,12611,12273,Зелёный
432,08 Feb 2023 02:22 PM,13650,15915,Чёрный
433,15 Jan 2023 12:34 AM,6532,10853,Жёлтый
434,25 Jan 2023 08:38 AM,12982,10648,Чёрный
435,01 Jan 2023 06:47 PM,1798,10625,Синий
436,01 Jan 2023 01:22 PM,8532,15199,Фиолетовый
437,07 Feb 2023 06:42 PM,666,12850,Оранжевый
438,19 Dec 2022 10:22 AM,19548,13552,Оранжевый
439,07 Feb 2023 05:29 AM,18820,11292,Чёрный
440,06 Jan 2023 10:34 AM,13230,10216,Оранжевый
441,02 Feb 2023 07:59 PM,14628,12373,Фиолетовый
442,09 Jan 2023 03:38 PM,17352,11409,Голубой
443,26 Dec 2022 09:26 AM,15948,14667,Синий
444,10 Jan 2023 08:18 PM,1398,13711,Красный
445,13 Dec 2022 06:48 PM,12742,10083,Голубой
446,19 Dec 2022 10:29 PM,11882,13826,Жёлтый
447,31 Dec 2022 03:39 AM,10209,15707,Зелёный
448,30 Dec 2022 06:02 AM,17898,11486,Чёрный
449,28 Jan 2023 05:06 PM,5421,12307,Фиолетовый
450,25 Jan 2023 04:35 AM,14151,12999,Фиолетовый
451,04 Jan 2023 05:29 PM,6329,13006,Синий
452,08 Feb 2023 04:07 PM,18900,13584,Голубой
453,15 Dec 2022 07:05 PM,9237,13043,Зелёный
454,03 Feb 2023 05:39 AM,15596,14867,Голубой
455,01 Jan 2023 03:07 AM,18912,12271,Зелёный
456,14 Jan 2023 07:01 AM,255,10866,Красный
457,14 Jan 2023 08:42 PM,7559,13928,Чёрный
458,10 Jan 2023 12:11 AM,17555,10292,Чёрный
459,30 Jan 2023 12:47 PM,16964,12531,Оранжевый
460,12 Jan 2023 10:05 PM,13563,10972,Фиолетовый
461,24 Jan 2023 09:41 AM,15983,13394,Оранжевый
462,24 Jan 2023 05:04 AM,1440,12577,Чёрный
463,28 Jan 2023 02:03 AM,17836,10854,Жёлтый
464,24 Dec 2022 11:43 AM,14244,15860,Красный
465,18 Jan 2023 05:50 AM,19552,13929,Синий
466,28 Dec 2022 02:57 AM,14389,14636,Жёлтый
